2022-04-24 09:05:07.456 INFO  --- 67140 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarting:55 --- Starting WikiApplication using Java 17.0.1 on MacBook-Pro with PID 67140 (/Users/gac/Documents/IdeaProjects/operativi/wiki/target/classes started by gac in /Users/gac/Documents/IdeaProjects/operativi/wiki) 
2022-04-24 09:05:07.457 INFO  --- 67140 [restartedMain] org.springframework.boot.SpringApplication.logStartupProfileInfo:640 --- No active profile set, falling back to 1 default profile: "default" 
2022-04-24 09:05:09.688 INFO  --- 67140 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarted:61 --- Started WikiApplication in 2.489 seconds (JVM running for 2.884) 
2022-04-24 09:06:00.265 INFO  --- 68396 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarting:55 --- Starting WikiApplication using Java 17.0.1 on MacBook-Pro with PID 68396 (/Users/gac/Documents/IdeaProjects/operativi/wiki/target/classes started by gac in /Users/gac/Documents/IdeaProjects/operativi/wiki) 
2022-04-24 09:06:00.265 INFO  --- 68396 [restartedMain] org.springframework.boot.SpringApplication.logStartupProfileInfo:640 --- No active profile set, falling back to 1 default profile: "default" 
2022-04-24 09:06:02.611 INFO  --- 68396 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarted:61 --- Started WikiApplication in 2.613 seconds (JVM running for 3.077) 
2022-04-24 09:07:09.371 INFO  --- 69893 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarting:55 --- Starting WikiApplication using Java 17.0.1 on MacBook-Pro with PID 69893 (/Users/gac/Documents/IdeaProjects/operativi/wiki/target/classes started by gac in /Users/gac/Documents/IdeaProjects/operativi/wiki) 
2022-04-24 09:07:09.371 INFO  --- 69893 [restartedMain] org.springframework.boot.SpringApplication.logStartupProfileInfo:640 --- No active profile set, falling back to 1 default profile: "default" 
2022-04-24 09:07:11.633 INFO  --- 69893 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarted:61 --- Started WikiApplication in 2.515 seconds (JVM running for 2.917) 
2022-04-24 09:08:56.382 INFO  --- 72742 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarting:55 --- Starting WikiApplication using Java 17.0.1 on MacBook-Pro with PID 72742 (/Users/gac/Documents/IdeaProjects/operativi/wiki/target/classes started by gac in /Users/gac/Documents/IdeaProjects/operativi/wiki) 
2022-04-24 09:08:56.382 INFO  --- 72742 [restartedMain] org.springframework.boot.SpringApplication.logStartupProfileInfo:640 --- No active profile set, falling back to 1 default profile: "default" 
2022-04-24 09:08:58.688 INFO  --- 72742 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarted:61 --- Started WikiApplication in 2.565 seconds (JVM running for 2.917) 
2022-04-24 09:13:42.341 INFO  --- 79350 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarting:55 --- Starting WikiApplication using Java 17.0.1 on MacBook-Pro with PID 79350 (/Users/gac/Documents/IdeaProjects/operativi/wiki/target/classes started by gac in /Users/gac/Documents/IdeaProjects/operativi/wiki) 
2022-04-24 09:13:42.341 INFO  --- 79350 [restartedMain] org.springframework.boot.SpringApplication.logStartupProfileInfo:640 --- No active profile set, falling back to 1 default profile: "default" 
2022-04-24 09:13:44.586 INFO  --- 79350 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarted:61 --- Started WikiApplication in 2.496 seconds (JVM running for 2.874) 
2022-04-24 09:14:22.617 INFO  --- 80368 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarting:55 --- Starting WikiApplication using Java 17.0.1 on MacBook-Pro with PID 80368 (/Users/gac/Documents/IdeaProjects/operativi/wiki/target/classes started by gac in /Users/gac/Documents/IdeaProjects/operativi/wiki) 
2022-04-24 09:14:22.617 INFO  --- 80368 [restartedMain] org.springframework.boot.SpringApplication.logStartupProfileInfo:640 --- No active profile set, falling back to 1 default profile: "default" 
2022-04-24 09:14:24.809 INFO  --- 80368 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarted:61 --- Started WikiApplication in 2.443 seconds (JVM running for 2.839) 
2022-04-24 09:16:05.854 INFO  --- 82841 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarting:55 --- Starting WikiApplication using Java 17.0.1 on MacBook-Pro with PID 82841 (/Users/gac/Documents/IdeaProjects/operativi/wiki/target/classes started by gac in /Users/gac/Documents/IdeaProjects/operativi/wiki) 
2022-04-24 09:16:05.854 INFO  --- 82841 [restartedMain] org.springframework.boot.SpringApplication.logStartupProfileInfo:640 --- No active profile set, falling back to 1 default profile: "default" 
2022-04-24 09:16:08.119 INFO  --- 82841 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarted:61 --- Started WikiApplication in 2.524 seconds (JVM running for 2.911) 
2022-04-24 09:27:32.746 INFO  --- 98951 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarting:55 --- Starting WikiApplication using Java 17.0.1 on MacBook-Pro with PID 98951 (/Users/gac/Documents/IdeaProjects/operativi/wiki/target/classes started by gac in /Users/gac/Documents/IdeaProjects/operativi/wiki) 
2022-04-24 09:27:32.746 INFO  --- 98951 [restartedMain] org.springframework.boot.SpringApplication.logStartupProfileInfo:640 --- No active profile set, falling back to 1 default profile: "default" 
2022-04-24 09:27:35.094 INFO  --- 98951 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarted:61 --- Started WikiApplication in 2.605 seconds (JVM running for 3.744) 
2022-04-24 09:35:38.969 INFO  --- 10934 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarting:55 --- Starting WikiApplication using Java 17.0.1 on MacBook-Pro with PID 10934 (/Users/gac/Documents/IdeaProjects/operativi/wiki/target/classes started by gac in /Users/gac/Documents/IdeaProjects/operativi/wiki) 
2022-04-24 09:35:38.969 INFO  --- 10934 [restartedMain] org.springframework.boot.SpringApplication.logStartupProfileInfo:640 --- No active profile set, falling back to 1 default profile: "default" 
2022-04-24 09:35:41.242 INFO  --- 10934 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarted:61 --- Started WikiApplication in 2.529 seconds (JVM running for 2.892) 
2022-04-24 09:36:06.805 INFO  --- 11707 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarting:55 --- Starting WikiApplication using Java 17.0.1 on MacBook-Pro with PID 11707 (/Users/gac/Documents/IdeaProjects/operativi/wiki/target/classes started by gac in /Users/gac/Documents/IdeaProjects/operativi/wiki) 
2022-04-24 09:36:06.805 INFO  --- 11707 [restartedMain] org.springframework.boot.SpringApplication.logStartupProfileInfo:640 --- No active profile set, falling back to 1 default profile: "default" 
2022-04-24 09:36:09.079 INFO  --- 11707 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarted:61 --- Started WikiApplication in 2.552 seconds (JVM running for 2.948) 
2022-04-24 09:37:34.682 INFO  --- 13690 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarting:55 --- Starting WikiApplication using Java 17.0.1 on MacBook-Pro with PID 13690 (/Users/gac/Documents/IdeaProjects/operativi/wiki/target/classes started by gac in /Users/gac/Documents/IdeaProjects/operativi/wiki) 
2022-04-24 09:37:34.683 INFO  --- 13690 [restartedMain] org.springframework.boot.SpringApplication.logStartupProfileInfo:640 --- No active profile set, falling back to 1 default profile: "default" 
2022-04-24 09:37:37.258 INFO  --- 13690 [restartedMain] org.springframework.boot.StartupInfoLogger.logStarted:61 --- Started WikiApplication in 2.854 seconds (JVM running for 3.282) 
